,Type,PRECIPITATION_MA,TEMPERATURE_MA
0,14,0.0,68.7
1,14,6.75,46.7
2,14,1.66,51.0
3,14,0.0,69.2
4,14,0.0,69.0
5,14,3.62,49.9
6,14,0.0,67.4
7,14,2.02,49.2
8,14,0.04,68.5
9,14,0.1,49.7
10,14,0.0,69.4
11,14,3.5,47.3
12,14,3.52,47.0
13,14,0.27,69.4
14,14,9.9,52.7
15,14,0.01,68.1
16,14,0.43,47.0
17,14,0.12,68.3
18,14,5.81,47.7
19,14,0.14,66.0
24,14,0.71,64.2
25,14,0.11,47.6
44,2,12.34,42.6
45,2,0.15,74.4
46,2,2.77,46.6
47,2,0.15,69.8
48,2,7.64,44.6
49,2,0.08,70.9
50,2,3.18,44.6
51,2,0.01,71.2
52,2,0.64,49.2
53,2,0.69,71.4
54,2,0.01,72.3
55,2,6.3,43.1
56,2,8.16,41.7
57,2,0.27,74.2
58,2,0.03,71.7
59,2,7.98,45.7
60,2,0.81,45.8
61,2,0.74,70.9
62,2,0.56,67.3
63,2,10.53,41.0
68,2,0.11,44.3
69,2,2.12,63.9
88,2,10.8,42.6
89,2,0.08,75.0
90,2,2.79,46.8
91,2,0.07,69.8
92,2,0.04,71.1
93,2,8.41,45.1
94,2,0.0,71.2
95,2,2.76,44.7
96,2,0.46,49.9
97,2,0.39,71.6
98,2,0.01,72.1
99,2,6.39,43.5
100,2,0.2,74.3
101,2,8.02,41.5
102,2,7.67,46.1
103,2,0.01,71.6
104,2,0.59,71.1
105,2,0.82,45.4
106,2,0.51,67.7
107,2,10.04,41.9
112,2,0.1,43.6
113,2,1.97,64.6
132,8,6.96,41.0
133,8,0.01,72.7
134,8,0.04,68.0
135,8,1.19,42.7
136,8,0.08,69.0
137,8,3.69,42.4
138,8,0.0,68.8
139,8,1.26,42.3
140,8,0.1,44.2
141,8,0.09,70.0
142,8,0.25,71.2
143,8,3.49,40.8
144,8,3.21,38.7
145,8,0.18,71.8
146,8,3.48,44.2
147,8,0.01,70.0
148,8,0.51,41.2
149,8,0.03,70.1
150,8,4.59,40.1
151,8,0.09,66.7
156,8,0.87,63.8
157,8,0.02,39.4
176,8,0.05,79.3
177,8,2.91,45.0
178,8,0.05,74.5
179,8,0.5,47.0
180,8,0.1,76.2
181,8,2.36,46.2
182,8,1.1,46.8
183,8,0.0,76.0
184,8,0.01,77.7
185,8,0.03,49.3
186,8,0.0,78.9
187,8,2.56,46.2
188,8,0.8,44.2
189,8,0.05,78.6
190,8,2.79,48.8
191,8,0.0,76.7
192,8,0.0,77.0
193,8,0.27,46.4
194,8,0.0,74.2
195,8,1.25,45.9
200,8,0.14,43.7
201,8,0.13,71.7
220,8,2.83,47.1
221,8,0.0,80.6
222,8,0.0,76.9
223,8,0.31,48.1
224,8,0.09,78.9
225,8,1.94,49.4
226,8,0.41,48.3
227,8,0.0,77.0
228,8,0.01,79.4
229,8,0.04,48.8
230,8,0.03,80.0
231,8,1.33,47.2
232,8,0.03,80.7
233,8,1.18,45.9
234,8,0.0,78.6
235,8,2.46,51.4
236,8,0.0,78.3
237,8,0.09,46.3
238,8,0.01,75.0
239,8,1.42,48.1
244,8,0.3,73.1
245,8,0.01,44.2
264,2,10.38,42.4
265,2,0.05,71.7
266,2,0.02,69.0
267,2,3.6,46.7
268,2,10.46,44.4
269,2,0.01,70.3
270,2,0.01,69.1
271,2,5.06,44.6
272,2,0.27,48.3
273,2,0.28,69.9
274,2,9.39,42.5
275,2,0.26,69.4
276,2,11.38,42.5
277,2,0.08,73.0
278,2,0.0,70.3
279,2,18.23,46.9
280,2,1.11,68.5
281,2,0.62,46.6
282,2,15.62,42.6
283,2,0.09,64.9
288,2,1.73,64.3
289,2,0.45,44.4
308,2,0.34,66.6
309,2,5.54,30.6
310,2,0.39,59.6
311,2,2.26,32.0
312,2,0.46,59.8
313,2,3.76,32.8
314,2,0.32,60.2
315,2,2.37,31.2
316,2,0.66,61.8
317,2,0.47,33.0
318,2,4.08,29.4
319,2,0.56,61.6
320,2,0.74,65.8
321,2,4.56,29.9
322,2,0.22,61.4
323,2,5.58,35.1
324,2,1.06,61.4
325,2,0.23,28.8
326,2,0.79,57.6
327,2,5.74,29.4
332,2,1.84,55.9
333,2,0.21,31.2
352,2,0.51,62.8
353,2,5.62,28.9
354,2,0.31,56.8
355,2,1.03,31.1
356,2,0.23,56.5
357,2,2.15,29.0
358,2,0.01,59.9
359,2,0.75,29.9
360,2,0.12,59.4
361,2,0.16,34.4
362,2,0.6,60.9
363,2,2.26,30.8
364,2,0.88,60.9
365,2,2.03,27.1
366,2,0.04,58.9
367,2,1.58,32.0
368,2,0.08,60.5
369,2,0.72,29.3
370,2,0.21,57.9
371,2,5.28,26.9
376,2,1.25,53.4
377,2,0.01,28.4
396,1,16.39,38.1
397,1,0.07,68.5
398,1,4.34,40.6
399,1,0.26,63.8
400,1,10.26,39.3
401,1,0.46,65.0
402,1,0.14,65.1
403,1,4.41,38.7
404,1,0.65,65.6
405,1,0.92,43.2
406,1,0.15,65.7
407,1,11.22,37.7
408,1,11.46,35.6
409,1,0.63,68.2
410,1,0.0,65.2
411,1,12.87,40.3
412,1,1.07,39.4
413,1,1.73,65.1
414,1,1.17,61.7
415,1,15.16,35.8
420,1,0.18,40.0
421,1,3.05,58.6
440,14,0.01,62.6
441,14,9.29,49.5
442,14,2.17,52.2
443,14,0.0,63.2
444,14,4.78,52.0
445,14,0.0,63.0
446,14,2.38,52.3
447,14,0.0,60.9
448,14,0.19,61.7
449,14,0.15,52.8
450,14,5.54,50.1
451,14,0.01,61.9
452,14,0.23,61.7
453,14,5.19,50.0
454,14,0.01,61.1
455,14,13.46,55.2
456,14,0.46,49.9
457,14,0.28,61.8
458,14,0.16,60.1
459,14,8.85,50.2
464,14,0.14,50.1
465,14,1.02,59.0
484,14,0.0,68.4
485,14,10.12,46.5
486,14,2.12,49.4
487,14,0.01,67.5
488,14,0.02,68.0
489,14,6.32,48.2
490,14,0.0,66.9
491,14,2.9,48.5
492,14,0.08,68.2
493,14,0.14,49.6
494,14,0.0,69.0
495,14,4.19,47.1
496,14,0.07,69.0
497,14,4.79,45.2
498,14,0.01,67.1
499,14,11.62,50.7
500,14,0.04,67.4
501,14,0.51,47.8
502,14,7.35,46.1
503,14,0.2,65.0
508,14,0.76,63.0
509,14,0.14,46.7
528,7,0.0,70.4
529,7,5.99,46.2
530,7,0.0,71.0
531,7,1.54,50.9
532,7,4.07,49.4
533,7,0.0,70.9
534,7,0.0,69.6
535,7,2.2,49.1
536,7,0.12,50.4
537,7,0.08,70.7
538,7,3.36,46.8
539,7,0.0,71.4
540,7,0.27,71.3
541,7,3.11,47.0
542,7,9.92,51.7
543,7,0.01,70.1
544,7,0.46,48.3
545,7,0.2,70.0
546,7,0.09,67.5
547,7,6.17,47.2
552,7,0.14,47.6
553,7,0.67,65.7
572,2,2.71,63.7
573,2,13.07,39.2
574,2,10.5,42.3
575,2,1.0,59.9
576,2,14.33,41.8
577,2,0.01,62.6
578,2,8.09,40.7
579,2,1.34,60.4
580,2,3.88,43.6
581,2,1.64,60.7
582,2,16.58,37.7
583,2,0.61,61.8
584,2,0.45,67.1
585,2,30.81,39.9
586,2,0.95,61.1
587,2,13.89,44.4
588,2,1.33,61.8
589,2,1.8,40.7
590,2,21.03,38.7
591,2,3.03,56.6
596,2,6.13,39.8
597,2,1.6,58.2
616,11,1.12,66.5
617,11,11.65,41.7
618,11,6.37,44.3
619,11,0.52,62.6
620,11,0.01,62.8
621,11,12.83,44.8
622,11,0.42,61.9
623,11,6.47,43.9
624,11,0.79,62.7
625,11,2.26,43.9
626,11,0.3,63.6
627,11,11.05,40.7
628,11,0.17,66.0
629,11,22.11,43.2
630,11,0.38,62.8
631,11,13.96,47.5
632,11,1.0,40.2
633,11,0.86,63.0
634,11,1.75,59.3
635,11,18.01,41.6
640,11,1.76,59.9
641,11,2.52,41.0
660,14,6.67,48.5
661,14,0.0,74.1
662,14,1.38,51.3
663,14,0.01,70.2
664,14,0.03,70.3
665,14,4.96,48.6
666,14,0.0,71.4
667,14,2.41,50.9
668,14,0.03,73.8
669,14,0.01,55.1
670,14,0.01,75.0
671,14,4.03,50.5
672,14,0.04,73.9
673,14,1.05,48.7
674,14,0.0,72.0
675,14,4.7,51.6
676,14,0.31,51.6
677,14,0.0,72.7
678,14,0.0,70.0
679,14,2.15,48.7
684,14,0.78,48.4
685,14,0.05,67.1
704,2,10.49,41.1
705,2,0.19,72.1
706,2,0.1,67.2
707,2,2.72,43.6
708,2,0.17,68.0
709,2,6.1,41.9
710,2,0.0,68.6
711,2,2.43,42.0
712,2,0.29,69.3
713,2,0.29,46.8
714,2,6.82,40.9
715,2,0.18,70.6
716,2,6.67,38.0
717,2,0.23,71.8
718,2,0.05,69.2
719,2,5.25,43.3
720,2,0.96,41.8
721,2,0.12,69.6
722,2,10.87,39.0
723,2,0.52,65.9
728,2,0.02,41.1
729,2,1.81,61.6
748,8,0.0,76.0
749,8,3.93,46.9
750,8,0.0,74.7
751,8,1.04,46.5
752,8,0.0,75.3
753,8,3.58,50.1
754,8,0.0,73.6
755,8,1.37,49.2
756,8,0.02,76.2
757,8,0.08,48.9
758,8,1.71,47.1
759,8,0.0,77.1
760,8,1.74,46.2
761,8,0.0,77.2
762,8,4.15,51.9
763,8,0.0,75.0
764,8,0.31,46.3
765,8,0.05,75.4
766,8,0.23,72.7
767,8,3.11,47.5
772,8,0.1,45.2
773,8,0.42,70.8
792,11,7.85,38.5
793,11,0.05,73.4
794,11,0.31,68.0
795,11,3.31,41.6
796,11,8.32,40.1
797,11,0.16,69.6
798,11,0.12,69.0
799,11,5.83,40.3
800,11,0.77,69.8
801,11,0.51,43.0
802,11,1.67,69.0
803,11,8.33,37.8
804,11,10.58,37.3
805,11,0.57,73.9
806,11,14.19,43.2
807,11,0.1,69.6
808,11,1.95,69.1
809,11,0.36,40.6
810,11,1.1,64.5
811,11,13.31,37.2
816,11,2.21,63.0
817,11,0.58,41.2
836,11,10.9,43.9
837,11,0.06,76.1
838,11,0.22,73.4
839,11,3.35,47.8
840,11,8.56,46.7
841,11,0.12,74.2
842,11,4.64,46.2
843,11,0.02,73.1
844,11,0.41,48.6
845,11,0.92,74.1
846,11,0.52,73.2
847,11,9.88,44.0
848,11,7.78,42.8
849,11,0.22,76.6
850,11,14.43,47.7
851,11,0.0,73.8
852,11,1.42,72.8
853,11,0.49,45.8
854,11,0.59,69.4
855,11,13.92,43.5
860,11,2.76,67.0
861,11,0.32,46.2
880,7,9.8,47.8
881,7,0.01,62.2
882,7,2.83,51.5
883,7,0.0,62.7
884,7,10.12,50.6
885,7,0.01,62.2
886,7,0.0,60.9
887,7,3.34,50.7
888,7,0.3,61.8
889,7,0.09,51.2
890,7,0.03,61.7
891,7,7.07,48.2
892,7,0.27,61.7
893,7,7.55,49.2
894,7,0.01,61.0
895,7,17.2,54.1
896,7,0.95,61.0
897,7,0.58,47.6
898,7,12.01,49.0
899,7,0.07,59.2
904,7,1.24,57.4
905,7,0.15,48.8
924,2,0.21,66.7
925,2,3.42,31.0
926,2,0.78,58.8
927,2,1.64,32.5
928,2,0.18,59.7
929,2,2.6,33.0
930,2,0.44,59.7
931,2,2.14,30.8
932,2,0.52,34.2
933,2,0.96,61.6
934,2,0.85,61.3
935,2,3.26,28.0
936,2,0.54,66.2
937,2,5.1,28.9
938,2,0.47,60.3
939,2,3.63,34.8
940,2,0.92,60.2
941,2,0.43,28.8
942,2,0.72,56.0
943,2,4.33,27.7
948,2,0.32,31.8
949,2,0.93,54.8
968,8,7.87,48.3
969,8,0.0,69.1
970,8,1.39,49.9
971,8,0.01,66.9
972,8,0.03,67.6
973,8,8.42,49.8
974,8,0.0,66.3
975,8,2.55,49.5
976,8,0.05,68.0
977,8,0.13,51.0
978,8,2.73,48.1
979,8,0.01,68.9
980,8,3.27,46.5
981,8,0.05,68.9
982,8,0.0,67.3
983,8,8.76,52.2
984,8,0.01,68.0
985,8,0.32,48.4
986,8,0.09,64.8
987,8,5.47,47.4
992,8,0.17,46.4
993,8,0.36,63.7
1012,1,15.4,39.6
1013,1,0.05,69.7
1014,1,0.27,65.2
