y,Community Type,Total Count,Classified,Not Classified
1,Exurbs,3281,,3281
2,Graying America,5366,210.0,5156
3,African American South,5408,2225.0,3183
4,Evangelical Hubs,5326,602.0,4724
5,Working Class Country,4788,7.0,4781
6,Military Posts,1286,26.0,1260
7,Urban Suburbs,1539,,1539
8,Hispanic Centers,2322,360.0,1962
9,Native American Lands,579,,579
10,Rural Middle America,8676,5682.0,2994
11,College Towns,2254,,2254
12,LDS Enclaves,610,,610
13,Aging Farmlands,2331,,2331
14,Big Cities,703,,703
15,Middle Suburbs,1124,,1124
