y,Community Type,Total Count,Classified,Not Classified
1,Exurbs,3281,334,2947
2,Graying America,5366,2356,3010
3,African American South,5408,3992,1416
4,Evangelical Hubs,5326,2058,3268
5,Working Class Country,4788,1224,3564
6,Military Posts,1286,23,1263
7,Urban Suburbs,1539,132,1407
8,Hispanic Centers,2322,600,1722
9,Native American Lands,579,13,566
10,Rural Middle America,8676,5227,3449
11,College Towns,2254,8,2246
12,LDS Enclaves,610,20,590
13,Aging Farmlands,2331,534,1797
14,Big Cities,703,9,694
15,Middle Suburbs,1124,31,1093
