"FIPSCode","YEAR","TEMPERATURE_MA","TEMPERATURE_INDEX"
6029,2021,79.3,"Hotter"
6035,2021,66.6,"Hotter"
6051,2021,62.8,"Hotter"
6085,2021,68.4,"Hotter"
6015,2021,63.7,"Hotter"
6023,2021,66.5,"Hotter"
6049,2021,66.7,"Hotter"
6093,2021,66.2,"Hotter"
6105,2021,69.2,"Hotter"
6107,2021,71.9,"Hotter"
6007,2021,76.1,"Hotter"
6037,2021,74.1,"Hotter"
6039,2021,73,"Hotter"
6043,2021,72.1,"Hotter"
6053,2021,69.1,"Hotter"
6057,2021,68.5,"Hotter"
6063,2021,65.2,"Hotter"
6079,2021,71,"Hotter"
6081,2021,63,"Hotter"
6109,2021,66.8,"Hotter"
6005,2021,74.4,"Hotter"
6011,2021,77.9,"Hotter"
6017,2021,70.3,"Hotter"
6019,2021,72.7,"Hotter"
6027,2021,82.1,"Hotter"
6031,2021,80.6,"Hotter"
6103,2021,75.8,"Hotter"
6111,2021,68.9,"Hotter"
6045,2021,67.4,"Hotter"
6055,2021,71.7,"Hotter"
6083,2021,67.9,"Hotter"
6087,2021,64.3,"Hotter"
6089,2021,73.4,"Hotter"
6097,2021,66.4,"Hotter"
6021,2021,77.1,"Hotter"
6061,2021,69.7,"Hotter"
6071,2021,87,"Hotter"
6003,2021,61,"Hotter"
6009,2021,75,"Hotter"
6025,2021,91.7,"Hotter"
6033,2021,71.7,"Hotter"
6065,2021,86.1,"Hotter"
6069,2021,71.8,"Hotter"
6073,2021,74.5,"Hotter"
6091,2021,64.2,"Hotter"
6115,2021,76.7,"Hotter"
8067,2021,64.3,"Hotter"
8085,2021,69.2,"Hotter"
8113,2021,65.1,"Hotter"
8021,2021,58.9,"Hotter"
8039,2021,36.3,"Hotter"
8055,2021,37.3,"Hotter"
8089,2021,41.1,"Hotter"
8101,2021,40.7,"Hotter"
8025,2021,38.8,"Hotter"
8065,2021,53.2,"Hotter"
8071,2021,40.5,"Hotter"
8109,2021,58.1,"Hotter"
8019,2021,55.6,"Hotter"
8029,2021,68.3,"Hotter"
8041,2021,38.3,"Hotter"
8049,2021,57,"Hotter"
8077,2021,69.7,"Hotter"
8079,2021,54.5,"Hotter"
8097,2021,57.2,"Hotter"
8061,2021,38.3,"Hotter"
8091,2021,61.7,"Hotter"
8099,2021,39.4,"Hotter"
8011,2021,40,"Hotter"
8045,2021,64.8,"Hotter"
8053,2021,54.4,"Hotter"
8069,2021,61.3,"Hotter"
8105,2021,59.3,"Hotter"
8003,2021,62.8,"Hotter"
8007,2021,62.8,"Hotter"
8027,2021,32,"Hotter"
8037,2021,59.5,"Hotter"
8051,2021,58.1,"Hotter"
8057,2021,56.8,"Hotter"
8081,2021,66.8,"Hotter"
8107,2021,60.8,"Hotter"
8111,2021,52.8,"Hotter"
8009,2021,41.4,"Hotter"
8033,2021,63,"Hotter"
8083,2021,69.6,"Hotter"
8103,2021,66.4,"Hotter"
13011,2021,52,"Hotter"
13017,2021,58.8,"Hotter"
13035,2021,54.9,"Hotter"
13039,2021,61.9,"Hotter"
13061,2021,58.4,"Hotter"
13099,2021,59.7,"Hotter"
13109,2021,59,"Hotter"
13045,2021,53,"Hotter"
13047,2021,51.6,"Hotter"
13051,2021,60.1,"Hotter"
13105,2021,53.4,"Hotter"
13065,2021,60.4,"Hotter"
13071,2021,60.1,"Hotter"
13079,2021,56.2,"Hotter"
13097,2021,53.3,"Hotter"
8119,2021,32,"Hotter"
13043,2021,58.4,"Hotter"
13055,2021,50.8,"Hotter"
13067,2021,53.1,"Hotter"
13087,2021,61.1,"Hotter"
13093,2021,57.8,"Hotter"
13103,2021,58.8,"Hotter"
13107,2021,58,"Hotter"
13015,2021,52,"Hotter"
13019,2021,59.4,"Hotter"
13033,2021,57.4,"Hotter"
13037,2021,59,"Hotter"
13059,2021,53.6,"Hotter"
13063,2021,54.5,"Hotter"
13083,2021,51.3,"Hotter"
13089,2021,53.8,"Hotter"
8117,2021,54.5,"Hotter"
13007,2021,60.2,"Hotter"
13021,2021,56.6,"Hotter"
13031,2021,58.5,"Hotter"
13049,2021,61.4,"Hotter"
13073,2021,55.2,"Hotter"
13077,2021,54.1,"Hotter"
13003,2021,59.2,"Hotter"
13013,2021,53,"Hotter"
13023,2021,57.9,"Hotter"
13069,2021,58.8,"Hotter"
13075,2021,59.8,"Hotter"
13101,2021,61.1,"Hotter"
13001,2021,59,"Hotter"
13005,2021,59.1,"Hotter"
13009,2021,56.1,"Hotter"
13025,2021,60.1,"Hotter"
13027,2021,60.9,"Hotter"
13029,2021,59.8,"Hotter"
13053,2021,56.5,"Hotter"
13057,2021,51.9,"Hotter"
13081,2021,58.3,"Hotter"
13085,2021,50.7,"Hotter"
13091,2021,58.3,"Hotter"
13095,2021,59.6,"Hotter"
13151,2021,54.6,"Hotter"
13159,2021,54.7,"Hotter"
13207,2021,55.4,"Hotter"
13219,2021,53.9,"Hotter"
13251,2021,57.8,"Hotter"
13255,2021,55,"Hotter"
13257,2021,51.6,"Hotter"
13261,2021,57.7,"Hotter"
13277,2021,59.2,"Hotter"
13283,2021,58.2,"Hotter"
13285,2021,54.2,"Hotter"
13287,2021,58.7,"Hotter"
13309,2021,58.3,"Hotter"
19039,2021,35.9,"Hotter"
13127,2021,61.4,"Hotter"
13145,2021,54.9,"Hotter"
13167,2021,57.4,"Hotter"
13171,2021,55.2,"Hotter"
13179,2021,60.2,"Hotter"
13189,2021,55,"Hotter"
13191,2021,61,"Hotter"
13209,2021,58.3,"Hotter"
13211,2021,54.4,"Hotter"
13229,2021,59.7,"Hotter"
13235,2021,58.1,"Hotter"
13271,2021,58.5,"Hotter"
13293,2021,55.4,"Hotter"
13301,2021,55,"Hotter"
19053,2021,36.9,"Hotter"
13121,2021,53.6,"Hotter"
13169,2021,55.8,"Hotter"
13173,2021,59.8,"Hotter"
13193,2021,57,"Hotter"
13205,2021,60.5,"Hotter"
13225,2021,56.8,"Hotter"
13279,2021,58.5,"Hotter"
19013,2021,74.4,"Hotter"
19071,2021,36.8,"Hotter"
13111,2021,48.6,"Hotter"
13115,2021,51.5,"Hotter"
13135,2021,53,"Hotter"
13155,2021,58.9,"Hotter"
13161,2021,58.5,"Hotter"
13197,2021,56.2,"Hotter"
13215,2021,56,"Hotter"
13233,2021,52.2,"Hotter"
13269,2021,56.1,"Hotter"
13307,2021,57,"Hotter"
13311,2021,49.7,"Hotter"
19003,2021,35.2,"Hotter"
13113,2021,54.4,"Hotter"
13117,2021,51.8,"Hotter"
13123,2021,49.4,"Hotter"
13125,2021,55.8,"Hotter"
13149,2021,53.8,"Hotter"
13163,2021,56.7,"Hotter"
13165,2021,57.9,"Hotter"
13177,2021,58.8,"Hotter"
13239,2021,57.6,"Hotter"
13245,2021,56.6,"Hotter"
13249,2021,56.8,"Hotter"
13267,2021,59,"Hotter"
13275,2021,61,"Hotter"
13289,2021,57.3,"Hotter"
13295,2021,50.9,"Hotter"
13305,2021,59.8,"Hotter"
13313,2021,51.4,"Hotter"
13321,2021,59.3,"Hotter"
13119,2021,52.2,"Hotter"
13147,2021,52.5,"Hotter"
13183,2021,60,"Hotter"
13187,2021,49.9,"Hotter"
13195,2021,52.7,"Hotter"
13217,2021,54.2,"Hotter"
13241,2021,47.5,"Hotter"
13247,2021,54,"Hotter"
13281,2021,47.4,"Hotter"
13291,2021,48.1,"Hotter"
13303,2021,56.5,"Hotter"
13315,2021,58.5,"Hotter"
13317,2021,54.1,"Hotter"
13129,2021,51.4,"Hotter"
13131,2021,61.2,"Hotter"
13133,2021,54.6,"Hotter"
13139,2021,51.9,"Hotter"
13141,2021,55.3,"Hotter"
13157,2021,52.7,"Hotter"
13175,2021,58,"Hotter"
13199,2021,54.5,"Hotter"
13201,2021,60.4,"Hotter"
13221,2021,53.8,"Hotter"
13223,2021,52.6,"Hotter"
13237,2021,55.1,"Hotter"
13243,2021,57.7,"Hotter"
13253,2021,61,"Hotter"
13265,2021,54.6,"Hotter"
13297,2021,53.6,"Hotter"
13319,2021,57.1,"Hotter"
13137,2021,50.2,"Hotter"
13143,2021,52.2,"Hotter"
13153,2021,57.5,"Hotter"
13181,2021,54.1,"Hotter"
13185,2021,60.7,"Hotter"
13213,2021,51,"Hotter"
13227,2021,50.8,"Hotter"
13231,2021,55,"Hotter"
13259,2021,56.9,"Hotter"
13263,2021,55.3,"Hotter"
13273,2021,58.2,"Hotter"
13299,2021,60.2,"Hotter"
19017,2021,74.2,"Hotter"
19137,2021,35.6,"Hotter"
21035,2021,50.8,"Hotter"
21087,2021,49,"Hotter"
21091,2021,46.4,"Hotter"
21095,2021,44.5,"Hotter"
21099,2021,49.1,"Hotter"
21151,2021,47.2,"Hotter"
21155,2021,48,"Hotter"
21177,2021,48.1,"Hotter"
21193,2021,47,"Hotter"
21201,2021,45.1,"Hotter"
19145,2021,36.5,"Hotter"
19175,2021,35.2,"Hotter"
19191,2021,72.9,"Hotter"
21001,2021,48.4,"Hotter"
21009,2021,49.8,"Hotter"
21037,2021,44.1,"Hotter"
21039,2021,49.7,"Hotter"
