type,W_2020,W_2019,W_2018,W_2017,W_2016,W_2015,W_2014,W_2013,W_2012,W_2011,W_2010,W_2009,W_2008,W_2007,W_2006,W_2005,W_2004,W_2003,W_2002,W_2001,W_2000,S_2020,S_2019,S_2018,S_2017,S_2016,S_2015,S_2014,S_2013,S_2012,S_2011,S_2010,S_2009,S_2008,S_2007,S_2006,S_2005,S_2004,S_2003,S_2002,S_2001,S_2000
1,-0.132287897,0.048209121,-0.019448405,-0.075059421,0.019322863,0.25113345,-0.114581781,-0.128139794,0.218118593,-0.012954167,-0.185116615,0.06002532,0.055892634,0.057374334,0.125121678,-0.166009702,0.097950465,0.011254804,-0.011596212,0.114328201,-0.300044836,-0.016557404,-0.011935774,0.032348299,-0.024409656,0.023179343,-0.005399452,-0.012163063,0.000551748,-0.002584046,0.016769071,0.015865481,-0.032038323,0.014743567,-0.006713625,-0.004905388,0.005738476,-0.022167914,-0.013417173,0.043203002,-0.020356095,0.004939542
2,-0.034311704,0.006491621,-0.026231086,-0.042134506,-0.009171693,0.223445514,-0.020661329,-0.196014585,0.382508539,0.012007064,-0.04574074,-0.080423445,0.053957258,0.143459193,0.171381067,-0.102100291,0.059514717,0.036736437,-0.012365985,0.039336573,-0.158400382,-0.039391556,-0.018130482,0.033079674,-0.007731739,0.012571718,0.003964466,-0.026816833,0.016547322,-0.00401776,-0.012764541,0.008120845,-0.019569997,0.013754766,0.009118643,0.016978019,-0.02302452,-0.008453733,0.002110371,0.030963867,-0.013853129,-0.005475617
3,-0.178309471,0.091011748,-0.03204861,-0.036622795,0.051233388,0.155598592,-0.13105951,-0.027834168,0.067475958,-0.038275758,-0.178480041,0.107355381,0.109327932,0.039232262,-0.021310594,-0.118115201,0.038596914,-0.028343405,0.018168957,0.133056867,-0.240724937,-0.004208693,0.008729376,0.02567183,-0.03940554,0.031636279,0.002911276,-0.015361686,0.000352783,-0.019859148,0.061797638,0.004561769,-0.028681768,0.003392096,-0.020588818,-0.006587284,-0.001708211,0.003624608,-0.017910025,0.020699475,-0.012987701,0.016848731
4,-0.184464181,0.091846803,-0.043331303,-0.053505827,0.012355232,0.21910706,-0.127189189,-0.09101949,0.153856366,-0.042693337,-0.170057705,0.067398185,0.08023656,0.071882477,0.02474599,-0.136711499,0.06786573,0.008621795,-0.002580534,0.10334013,-0.301433111,-0.002034992,-0.011740382,0.048982898,-0.045568876,0.038105357,-0.009019491,-0.011103151,-0.001513586,-0.001066516,0.041807291,0.005745954,-0.029575937,-0.002628349,-0.015249204,-0.004441832,0.007216984,-0.018359134,-0.027157264,0.0501779,-0.022960462,0.007402694
5,-0.157368189,0.076845493,-0.027584485,-0.110652854,0.044221735,0.307888578,-0.152048448,-0.146801616,0.600368818,-0.019919717,-0.248089612,0.122781103,0.017311683,0.11883424,0.135515361,-0.200321511,0.1004289,0.033354284,-0.010995571,0.135252112,-0.38460996,-0.012031942,-0.017697095,0.047380511,-0.037322633,0.030637622,-0.00837766,-0.003409191,-0.009268447,0.002810322,0.017782776,0.01990975,-0.033372153,0.006475547,-0.003955928,-0.018057658,0.032150953,-0.040633246,-0.022988922,0.062391508,-0.031622821,0.009529837
6,-0.107540153,0.016543229,0.240688805,0.007634098,-0.054904766,0.167078501,0.021641909,-0.13607178,0.118714911,-0.25159719,-0.250008452,-0.083938128,-0.023434955,0.092549792,0.046598472,-0.012883232,0.02364744,-0.064929881,0.058802053,0.00605715,-0.198591639,-0.012456953,0.006549546,0.017372171,-0.023235745,0.022547882,0.001304797,-0.024922216,0.020161594,-0.021104992,0.031252269,0.004972347,-0.022082392,0.001573155,-0.007857939,0.00483086,0.002435842,-0.004232103,-0.019933381,0.027860096,-0.009879957,-0.00045827
7,-0.089667962,0.013868657,0.001262132,-0.071606315,0.047782098,0.211653367,-0.110162484,-0.072354493,0.097783437,-0.008852177,-0.150398677,0.057318902,0.053606981,0.006945794,0.112266266,-0.145065642,0.064368268,0.002617494,-0.033454957,0.148422868,-0.217436169,-0.013144314,-0.012979322,0.009124476,-0.001848961,0.010604451,-0.005788466,-0.003963889,0.003975831,-0.014859268,0.012850944,0.021384518,-0.045523982,0.039121117,-0.015571338,0.002281352,0.003402433,-0.019308748,-0.013997945,0.031415885,-0.001139088,-0.00103464
8,-0.125407915,0.041153422,-0.042364412,0.003222125,-0.026220806,0.077217013,0.011905581,-0.1229776,0.127586116,-0.076382829,0.085954585,-0.137839034,0.10746264,0.007981578,0.048993338,-0.026307599,0.045214446,0.016337559,-0.017298523,0.013216473,-0.116509519,-0.009149742,-0.021689187,0.045654225,-0.018425196,0.001334984,-0.005011643,-0.003990157,0.015019815,0.001253952,0.001517096,-0.006395045,-0.018604397,0.017882687,-0.032387416,0.03847268,-0.027935818,-0.003619913,-0.004037253,0.042790525,-0.013435578,-0.017494108
9,-0.043550181,-0.212246436,0.007378085,-1.193963358,-0.305829506,0.094214378,-2.139916103,-0.389747405,0.303897577,0.068359981,0.624187528,-0.403516397,-0.084927167,0.378808893,-0.046644016,0.169603038,0.161388087,-0.235213438,0.026782122,2.077873264,-0.442772104,-0.026322823,-0.017925877,0.019322168,-0.001948822,0.021290684,-0.016419508,-0.0501375,0.036515174,0.015862677,-0.044959182,0.010782609,-0.026286728,0.006088506,0.045653403,0.004871374,-0.0063408,-0.029308008,0.01228544,0.042833483,-0.032518963,-0.011190428
10,-0.07812102,0.004124847,0.001619692,-0.143665911,-0.008071119,0.417953784,-0.146700089,-0.265523776,0.303664623,0.048565006,-0.282525521,0.04930712,-0.033741109,0.23483667,0.363437478,-0.272588502,0.201874963,0.053563189,-0.016826931,0.113430642,-0.510578435,-0.012550001,-0.04207443,0.046670248,-0.022489586,0.022392052,-0.027573828,0.003594553,-0.009110074,0.023861387,-0.01291079,0.015954441,-0.033931516,0.015329693,0.009090788,-0.006982597,0.032985104,-0.070007734,-0.002574342,0.072368663,-0.040432057,-0.005837835
